nome_file,link
1.png,https://www.zara.com/it/it/trnch-13-p06699315.html?v1=397273848&v2=2432200
2.png,https://www.zara.com/it/it/cappotto-a-righe-p09591371.html
3.png,https://www.nike.com/it/t/scarpa-air-force-1-mid-07-GPqpDq/CW2289-111?nikegos=true&cp=89060216614_search_&Macro=--x-17224451913---c-----9198933-00194500875449&dplnk=member&gad_source=1&gclid=Cj0KCQiA0fu5BhDQARIsAMXUBOIr4-DGAbGEs1Uh_vDYU6QTEJL9T7INsRh9FgfgN-NS_uCyeVbiHkkaAty_EALw_wcB&gclsrc=aw.ds
